|id |titulo                                             |link_imagem|descricao                                          |id_pesquisa_produto|id_pesquisa_subcategoria|createdAt                    |updatedAt                    |
|26 |Pesquisa de mercado Pão de Bisnaquinha             |           |Pesquisa de mercado Pão de Bisnaquinha             |                   |24                      |2025-02-03 17:15:34.318 -0300|2025-02-03 17:15:34.318 -0300|
|27 |Pesquisa de mercado Pão de Forma Integral sem casca|           |Pesquisa de mercado Pão de Forma Integral sem casca|                   |25                      |2025-02-03 17:27:05.410 -0300|2025-02-03 17:27:05.410 -0300|
|28 |Pesquisa de mercado Pão de Forma sem Casca         |           |Pesquisa de mercado Pão de Forma sem Casca         |                   |26                      |2025-02-03 17:46:54.931 -0300|2025-02-03 17:46:54.931 -0300|
|29 |Pesquisa de mercado Pão de Mel                     |           |Pesquisa de mercado Pão de Mel                     |                   |27                      |2025-02-03 17:57:58.438 -0300|2025-02-03 17:57:58.438 -0300|
|30 |Pesquisa de mercado Pão Tortilha                   |           |Pesquisa de mercado Pão Tortilha                   |                   |28                      |2025-02-04 16:53:56.457 -0300|2025-02-04 16:53:56.457 -0300|
|31 |Pesquisa de mercado Achocolatado em Pó             |           |Pesquisa de mercado Achocolatado em Pó             |                   |29                      |2025-02-04 18:52:31.660 -0300|2025-02-04 18:52:31.660 -0300|
|32 |Pesquisa de mercado Bebida Láctea                  |           |Pesquisa de mercado Bebida Láctea                  |                   |30                      |2025-02-05 11:08:05.810 -0300|2025-02-05 11:08:05.810 -0300|
|33 |Pesquisa de mercado Café em Pó                     |           |Pesquisa de mercado Café em Pó                     |                   |31                      |2025-02-05 11:31:45.493 -0300|2025-02-05 11:31:45.493 -0300|
|34 |Pesquisa de mercado Café em Sachê - Drip Coffee    |           |Pesquisa de mercado Café em Sachê - Drip Coffee    |                   |32                      |2025-02-05 11:51:06.820 -0300|2025-02-05 11:51:06.820 -0300|
|35 |Pesquisa de mercado Café com Leite Solúvel         |           |Pesquisa de mercado Café com Leite Solúvel         |                   |33                      |2025-02-05 17:21:26.531 -0300|2025-02-05 17:21:26.531 -0300|
|38 |Pesquisa de mercado Cappuccino em Pó               |           |Pesquisa de mercado Cappuccino em Pó               |                   |36                      |2025-02-05 18:08:59.681 -0300|2025-02-05 18:08:59.681 -0300|
|40 |Pesquisa de mercado Chocolate Quente               |           |Pesquisa de mercado Chocolate Quente               |                   |38                      |2025-02-10 13:46:41.499 -0300|2025-02-10 13:46:41.499 -0300|
|41 |Pesquisa de mercado Energéticos                    |           |Pesquisa de mercado Energéticos                    |                   |39                      |2025-02-10 14:03:33.303 -0300|2025-02-10 14:03:33.303 -0300|
|42 |Pesquisa de mercado Bebida a Base de Amêndoas      |           |Pesquisa de mercado Bebida a Base de Amêndoas      |                   |40                      |2025-02-10 16:27:09.889 -0300|2025-02-10 16:27:09.889 -0300|
|43 |Pesquisa de mercado Bebida a Base de Aveia         |           |Pesquisa de mercado Bebida a Base de Aveia         |                   |41                      |2025-02-10 16:40:11.481 -0300|2025-02-10 16:40:11.481 -0300|
|44 |Pesquisa de mercado Bebida a Base de Coco          |           |Pesquisa de mercado Bebida a Base de Coco          |                   |42                      |2025-02-10 16:49:30.052 -0300|2025-02-10 16:49:30.052 -0300|
|46 |Pesquisa de mercado Refrigerantes                  |           |Pesquisa de mercado Refrigerantes                  |                   |44                      |2025-02-10 17:09:32.856 -0300|2025-02-10 17:09:32.856 -0300|
|47 |Pesquisa de mercado Sucos                          |           |Pesquisa de mercado Sucos                          |                   |45                      |2025-02-11 15:30:42.567 -0300|2025-02-11 15:30:42.567 -0300|
|48 |Pesquisa de mercado Refresco Líquido               |           |Pesquisa de mercado Refresco Líquido               |                   |46                      |2025-02-11 15:47:33.223 -0300|2025-02-11 15:47:33.223 -0300|
|49 |Pesquisa de mercado Néctar                         |           |Pesquisa de mercado Néctar                         |                   |47                      |2025-02-11 16:01:35.772 -0300|2025-02-11 16:01:35.772 -0300|
|50 |Pesquisa de mercado Água de Coco                   |           |Pesquisa de mercado Água de Coco                   |                   |48                      |2025-02-11 16:15:29.845 -0300|2025-02-11 16:15:29.845 -0300|
|51 |Pesquisa de mercado Smoothie                       |           |Pesquisa de mercado Smoothie                       |                   |49                      |2025-02-11 16:28:32.460 -0300|2025-02-11 16:28:32.460 -0300|
|52 |Pesquisa de mercado Chás                           |           |Pesquisa de mercado Chás                           |                   |50                      |2025-02-11 17:35:23.294 -0300|2025-02-11 17:35:23.294 -0300|
|53 |Pesquisa de mercado Chás Prontos                   |           |Pesquisa de mercado Chás Prontos                   |                   |51                      |2025-02-11 17:45:52.021 -0300|2025-02-11 17:45:52.021 -0300|
|45 |Bem-vindo(a) a foodtest!                           |           |-                                                  |                   |43                      |2025-02-10 17:00:25.016 -0300|2025-10-20 17:00:19.921 -0300|
|71 |-                                                  |           |-                                                  |21                 |                        |2025-03-27 18:05:53.854 -0300|2025-03-27 18:05:53.854 -0300|
|72 |-                                                  |           |-                                                  |22                 |                        |2025-03-27 18:05:54.111 -0300|2025-03-27 18:05:54.111 -0300|
|73 |-                                                  |           |-                                                  |23                 |                        |2025-03-27 18:05:54.363 -0300|2025-03-27 18:05:54.363 -0300|
|74 |-                                                  |           |-                                                  |24                 |                        |2025-03-27 18:05:54.596 -0300|2025-03-27 18:05:54.596 -0300|
|75 |-                                                  |           |-                                                  |25                 |                        |2025-03-27 18:05:54.832 -0300|2025-03-27 18:05:54.832 -0300|
|76 |-                                                  |           |-                                                  |26                 |                        |2025-03-27 18:05:55.075 -0300|2025-03-27 18:05:55.075 -0300|
|77 |-                                                  |           |-                                                  |27                 |                        |2025-03-27 18:05:55.330 -0300|2025-03-27 18:05:55.330 -0300|
|89 |-                                                  |           |-                                                  |41                 |                        |2025-04-01 14:43:46.426 -0300|2025-04-01 14:43:46.426 -0300|
|90 |-                                                  |           |-                                                  |42                 |                        |2025-04-01 15:02:48.123 -0300|2025-04-01 15:02:48.123 -0300|
|91 |-                                                  |           |-                                                  |43                 |                        |2025-04-01 15:02:48.385 -0300|2025-04-01 15:02:48.385 -0300|
|92 |-                                                  |           |-                                                  |44                 |                        |2025-04-01 15:02:48.645 -0300|2025-04-01 15:02:48.645 -0300|
|93 |-                                                  |           |-                                                  |45                 |                        |2025-04-01 15:16:50.011 -0300|2025-04-01 15:16:50.011 -0300|
|94 |-                                                  |           |-                                                  |46                 |                        |2025-04-01 15:16:50.277 -0300|2025-04-01 15:16:50.277 -0300|
|95 |-                                                  |           |-                                                  |47                 |                        |2025-04-01 15:16:50.545 -0300|2025-04-01 15:16:50.545 -0300|
|96 |-                                                  |           |-                                                  |48                 |                        |2025-04-01 15:16:50.817 -0300|2025-04-01 15:16:50.817 -0300|
|97 |-                                                  |           |-                                                  |49                 |                        |2025-04-01 15:28:42.824 -0300|2025-04-01 15:28:42.824 -0300|
|99 |-                                                  |           |-                                                  |51                 |                        |2025-04-01 15:28:43.339 -0300|2025-04-01 15:28:43.339 -0300|
|100|-                                                  |           |-                                                  |52                 |                        |2025-04-01 15:35:24.688 -0300|2025-04-01 15:35:24.688 -0300|
|101|-                                                  |           |-                                                  |53                 |                        |2025-04-01 15:35:24.966 -0300|2025-04-01 15:35:24.966 -0300|
|102|-                                                  |           |-                                                  |54                 |                        |2025-04-01 15:35:25.218 -0300|2025-04-01 15:35:25.218 -0300|
|106|-                                                  |           |-                                                  |58                 |                        |2025-04-01 16:09:48.393 -0300|2025-04-01 16:09:48.393 -0300|
|107|-                                                  |           |-                                                  |59                 |                        |2025-04-01 16:09:48.661 -0300|2025-04-01 16:09:48.661 -0300|
|108|-                                                  |           |-                                                  |60                 |                        |2025-04-01 16:09:48.935 -0300|2025-04-01 16:09:48.935 -0300|
|109|-                                                  |           |-                                                  |61                 |                        |2025-04-01 16:09:49.202 -0300|2025-04-01 16:09:49.202 -0300|
|110|-                                                  |           |-                                                  |62                 |                        |2025-04-01 16:09:49.450 -0300|2025-04-01 16:09:49.450 -0300|
|111|-                                                  |           |-                                                  |63                 |                        |2025-04-01 16:28:23.477 -0300|2025-04-01 16:28:23.477 -0300|
|112|-                                                  |           |-                                                  |64                 |                        |2025-04-01 16:34:13.424 -0300|2025-04-01 16:34:13.424 -0300|
|113|-                                                  |           |-                                                  |65                 |                        |2025-04-01 17:12:03.317 -0300|2025-04-01 17:12:03.317 -0300|
|114|-                                                  |           |-                                                  |66                 |                        |2025-04-01 17:46:43.353 -0300|2025-04-01 17:46:43.353 -0300|
|115|-                                                  |           |-                                                  |67                 |                        |2025-04-01 17:55:17.452 -0300|2025-04-01 17:55:17.452 -0300|
|116|-                                                  |           |-                                                  |68                 |                        |2025-04-01 17:55:17.738 -0300|2025-04-01 17:55:17.738 -0300|
|117|-                                                  |           |-                                                  |69                 |                        |2025-04-01 17:55:18.020 -0300|2025-04-01 17:55:18.020 -0300|
|118|-                                                  |           |-                                                  |70                 |                        |2025-04-01 18:02:42.772 -0300|2025-04-01 18:02:42.772 -0300|
|119|-                                                  |           |-                                                  |71                 |                        |2025-04-02 01:56:47.631 -0300|2025-04-02 01:56:47.631 -0300|
|120|-                                                  |           |-                                                  |72                 |                        |2025-04-02 01:56:48.106 -0300|2025-04-02 01:56:48.106 -0300|
|121|-                                                  |           |-                                                  |73                 |                        |2025-04-02 09:50:06.980 -0300|2025-04-02 09:50:06.980 -0300|
|122|-                                                  |           |-                                                  |74                 |                        |2025-04-02 09:50:07.269 -0300|2025-04-02 09:50:07.269 -0300|
|123|-                                                  |           |-                                                  |75                 |                        |2025-04-02 09:50:07.526 -0300|2025-04-02 09:50:07.526 -0300|
|124|-                                                  |           |-                                                  |76                 |                        |2025-04-02 09:50:07.793 -0300|2025-04-02 09:50:07.793 -0300|
|125|-                                                  |           |-                                                  |77                 |                        |2025-04-02 09:50:08.069 -0300|2025-04-02 09:50:08.069 -0300|
|126|-                                                  |           |-                                                  |78                 |                        |2025-04-02 09:50:08.327 -0300|2025-04-02 09:50:08.327 -0300|
|127|-                                                  |           |-                                                  |79                 |                        |2025-04-02 09:50:08.578 -0300|2025-04-02 09:50:08.578 -0300|
|128|-                                                  |           |-                                                  |80                 |                        |2025-04-02 10:00:14.505 -0300|2025-04-02 10:00:14.505 -0300|
|129|-                                                  |           |-                                                  |81                 |                        |2025-04-02 10:00:14.760 -0300|2025-04-02 10:00:14.760 -0300|
|130|-                                                  |           |-                                                  |82                 |                        |2025-04-02 10:00:15.022 -0300|2025-04-02 10:00:15.022 -0300|
|131|-                                                  |           |-                                                  |83                 |                        |2025-04-02 10:00:15.275 -0300|2025-04-02 10:00:15.275 -0300|
|132|-                                                  |           |-                                                  |84                 |                        |2025-04-02 10:00:15.525 -0300|2025-04-02 10:00:15.525 -0300|
|133|-                                                  |           |-                                                  |85                 |                        |2025-04-02 10:00:15.782 -0300|2025-04-02 10:00:15.782 -0300|
|134|-                                                  |           |-                                                  |86                 |                        |2025-04-02 10:00:16.020 -0300|2025-04-02 10:00:16.020 -0300|
|135|-                                                  |           |-                                                  |87                 |                        |2025-04-02 10:00:16.264 -0300|2025-04-02 10:00:16.264 -0300|
|136|-                                                  |           |-                                                  |88                 |                        |2025-04-02 10:00:16.543 -0300|2025-04-02 10:00:16.543 -0300|
|137|-                                                  |           |-                                                  |89                 |                        |2025-04-02 10:00:16.796 -0300|2025-04-02 10:00:16.796 -0300|
|138|-                                                  |           |-                                                  |90                 |                        |2025-04-02 10:00:17.052 -0300|2025-04-02 10:00:17.052 -0300|
|139|-                                                  |           |-                                                  |91                 |                        |2025-04-02 10:00:17.304 -0300|2025-04-02 10:00:17.304 -0300|
|140|-                                                  |           |-                                                  |92                 |                        |2025-04-02 10:48:54.236 -0300|2025-04-02 10:48:54.236 -0300|
|141|-                                                  |           |-                                                  |93                 |                        |2025-04-02 10:48:54.497 -0300|2025-04-02 10:48:54.497 -0300|
|142|-                                                  |           |-                                                  |94                 |                        |2025-04-02 10:48:54.759 -0300|2025-04-02 10:48:54.759 -0300|
|143|-                                                  |           |-                                                  |95                 |                        |2025-04-02 15:01:04.253 -0300|2025-04-02 15:01:04.253 -0300|
|144|-                                                  |           |-                                                  |96                 |                        |2025-04-02 15:01:04.515 -0300|2025-04-02 15:01:04.515 -0300|
|145|-                                                  |           |-                                                  |97                 |                        |2025-04-02 15:01:04.766 -0300|2025-04-02 15:01:04.766 -0300|
|146|-                                                  |           |-                                                  |98                 |                        |2025-04-02 15:16:50.512 -0300|2025-04-02 15:16:50.512 -0300|
|147|-                                                  |           |-                                                  |99                 |                        |2025-04-02 15:16:50.778 -0300|2025-04-02 15:16:50.778 -0300|
|148|-                                                  |           |-                                                  |100                |                        |2025-04-02 15:16:51.018 -0300|2025-04-02 15:16:51.018 -0300|
|149|-                                                  |           |-                                                  |101                |                        |2025-04-02 15:16:51.258 -0300|2025-04-02 15:16:51.258 -0300|
|150|-                                                  |           |-                                                  |102                |                        |2025-04-02 15:16:51.525 -0300|2025-04-02 15:16:51.525 -0300|
|151|-                                                  |           |-                                                  |103                |                        |2025-04-02 15:16:51.742 -0300|2025-04-02 15:16:51.742 -0300|
|152|-                                                  |           |-                                                  |104                |                        |2025-04-02 15:24:23.526 -0300|2025-04-02 15:24:23.526 -0300|
|153|-                                                  |           |-                                                  |105                |                        |2025-04-02 15:26:04.338 -0300|2025-04-02 15:26:04.338 -0300|
|154|-                                                  |           |-                                                  |106                |                        |2025-04-02 15:26:04.612 -0300|2025-04-02 15:26:04.612 -0300|
|155|-                                                  |           |-                                                  |107                |                        |2025-04-02 15:33:44.182 -0300|2025-04-02 15:33:44.182 -0300|
|156|-                                                  |           |-                                                  |108                |                        |2025-04-02 15:33:44.434 -0300|2025-04-02 15:33:44.434 -0300|
|157|-                                                  |           |-                                                  |109                |                        |2025-04-02 15:57:00.511 -0300|2025-04-02 15:57:00.511 -0300|
|158|-                                                  |           |-                                                  |110                |                        |2025-04-02 15:57:00.770 -0300|2025-04-02 15:57:00.770 -0300|
|159|-                                                  |           |-                                                  |111                |                        |2025-04-02 16:14:15.214 -0300|2025-04-02 16:14:15.214 -0300|
|160|-                                                  |           |-                                                  |112                |                        |2025-04-02 16:14:15.466 -0300|2025-04-02 16:14:15.466 -0300|
|161|-                                                  |           |-                                                  |113                |                        |2025-04-02 16:14:15.729 -0300|2025-04-02 16:14:15.729 -0300|
|162|-                                                  |           |-                                                  |114                |                        |2025-04-02 16:14:15.991 -0300|2025-04-02 16:14:15.991 -0300|
|163|-                                                  |           |-                                                  |115                |                        |2025-04-02 16:14:16.257 -0300|2025-04-02 16:14:16.257 -0300|
|164|-                                                  |           |-                                                  |116                |                        |2025-04-02 16:14:16.509 -0300|2025-04-02 16:14:16.509 -0300|
|165|-                                                  |           |-                                                  |117                |                        |2025-04-02 16:19:41.888 -0300|2025-04-02 16:19:41.888 -0300|
|166|-                                                  |           |-                                                  |118                |                        |2025-04-02 16:19:42.338 -0300|2025-04-02 16:19:42.338 -0300|
|167|-                                                  |           |-                                                  |119                |                        |2025-04-02 16:19:42.762 -0300|2025-04-02 16:19:42.762 -0300|
|168|-                                                  |           |-                                                  |120                |                        |2025-04-02 17:18:58.502 -0300|2025-04-02 17:18:58.502 -0300|
|169|-                                                  |           |-                                                  |121                |                        |2025-04-02 17:18:58.768 -0300|2025-04-02 17:18:58.768 -0300|
|170|-                                                  |           |-                                                  |122                |                        |2025-04-02 17:18:59.023 -0300|2025-04-02 17:18:59.023 -0300|
|171|-                                                  |           |-                                                  |123                |                        |2025-04-02 17:18:59.283 -0300|2025-04-02 17:18:59.283 -0300|
|172|-                                                  |           |-                                                  |124                |                        |2025-04-02 17:18:59.533 -0300|2025-04-02 17:18:59.533 -0300|
|173|-                                                  |           |-                                                  |125                |                        |2025-04-02 17:18:59.785 -0300|2025-04-02 17:18:59.785 -0300|
|174|-                                                  |           |-                                                  |126                |                        |2025-04-02 17:30:28.321 -0300|2025-04-02 17:30:28.321 -0300|
|175|-                                                  |           |-                                                  |127                |                        |2025-04-02 17:30:28.649 -0300|2025-04-02 17:30:28.649 -0300|
|176|-                                                  |           |-                                                  |128                |                        |2025-04-02 17:30:28.908 -0300|2025-04-02 17:30:28.908 -0300|
|177|-                                                  |           |-                                                  |129                |                        |2025-04-02 17:30:29.149 -0300|2025-04-02 17:30:29.149 -0300|
|178|-                                                  |           |-                                                  |130                |                        |2025-04-02 17:30:29.412 -0300|2025-04-02 17:30:29.412 -0300|
|179|-                                                  |           |-                                                  |131                |                        |2025-04-02 17:43:04.666 -0300|2025-04-02 17:43:04.666 -0300|
|180|-                                                  |           |-                                                  |132                |                        |2025-04-02 17:43:04.928 -0300|2025-04-02 17:43:04.928 -0300|
|181|-                                                  |           |-                                                  |133                |                        |2025-04-02 17:43:05.189 -0300|2025-04-02 17:43:05.189 -0300|
|182|-                                                  |           |-                                                  |134                |                        |2025-04-02 17:43:05.459 -0300|2025-04-02 17:43:05.459 -0300|
|183|-                                                  |           |-                                                  |135                |                        |2025-04-02 17:43:05.734 -0300|2025-04-02 17:43:05.734 -0300|
|184|-                                                  |           |-                                                  |136                |                        |2025-04-02 17:43:05.978 -0300|2025-04-02 17:43:05.978 -0300|
|185|-                                                  |           |-                                                  |137                |                        |2025-04-02 17:43:06.217 -0300|2025-04-02 17:43:06.217 -0300|
|186|-                                                  |           |-                                                  |138                |                        |2025-04-02 17:43:06.470 -0300|2025-04-02 17:43:06.470 -0300|
|187|-                                                  |           |-                                                  |139                |                        |2025-04-02 17:43:06.713 -0300|2025-04-02 17:43:06.713 -0300|
|188|-                                                  |           |-                                                  |140                |                        |2025-04-02 17:43:06.983 -0300|2025-04-02 17:43:06.983 -0300|
|189|-                                                  |           |-                                                  |141                |                        |2025-04-02 17:43:07.253 -0300|2025-04-02 17:43:07.253 -0300|
|190|-                                                  |           |-                                                  |142                |                        |2025-04-02 17:43:07.499 -0300|2025-04-02 17:43:07.499 -0300|
|191|-                                                  |           |-                                                  |143                |                        |2025-04-07 18:47:57.169 -0300|2025-04-07 18:47:57.169 -0300|
|192|-                                                  |           |-                                                  |144                |                        |2025-04-07 18:47:57.452 -0300|2025-04-07 18:47:57.452 -0300|
|193|-                                                  |           |-                                                  |145                |                        |2025-04-07 18:47:57.700 -0300|2025-04-07 18:47:57.700 -0300|
|194|-                                                  |           |-                                                  |146                |                        |2025-04-07 18:47:57.952 -0300|2025-04-07 18:47:57.952 -0300|
|195|-                                                  |           |-                                                  |147                |                        |2025-04-07 18:56:35.130 -0300|2025-04-07 18:56:35.130 -0300|
|196|-                                                  |           |-                                                  |148                |                        |2025-04-07 19:08:01.859 -0300|2025-04-07 19:08:01.859 -0300|
|197|-                                                  |           |-                                                  |149                |                        |2025-04-07 19:08:02.133 -0300|2025-04-07 19:08:02.133 -0300|
|198|-                                                  |           |-                                                  |150                |                        |2025-04-07 19:08:02.408 -0300|2025-04-07 19:08:02.408 -0300|
|199|-                                                  |           |-                                                  |151                |                        |2025-04-07 19:08:02.674 -0300|2025-04-07 19:08:02.674 -0300|
|200|-                                                  |           |-                                                  |152                |                        |2025-04-07 19:08:02.947 -0300|2025-04-07 19:08:02.947 -0300|
|201|-                                                  |           |-                                                  |153                |                        |2025-04-07 19:13:47.139 -0300|2025-04-07 19:13:47.139 -0300|
|202|-                                                  |           |-                                                  |154                |                        |2025-04-07 19:13:47.446 -0300|2025-04-07 19:13:47.446 -0300|
|203|-                                                  |           |-                                                  |155                |                        |2025-04-07 19:27:49.724 -0300|2025-04-07 19:27:49.724 -0300|
|204|-                                                  |           |-                                                  |156                |                        |2025-04-07 19:27:49.987 -0300|2025-04-07 19:27:49.987 -0300|
|205|-                                                  |           |-                                                  |157                |                        |2025-04-07 19:27:50.260 -0300|2025-04-07 19:27:50.260 -0300|
|206|-                                                  |           |-                                                  |158                |                        |2025-04-07 19:27:50.550 -0300|2025-04-07 19:27:50.550 -0300|
|207|-                                                  |           |-                                                  |159                |                        |2025-04-07 19:27:50.806 -0300|2025-04-07 19:27:50.806 -0300|
|208|-                                                  |           |-                                                  |160                |                        |2025-04-07 19:27:51.061 -0300|2025-04-07 19:27:51.061 -0300|
|209|-                                                  |           |-                                                  |161                |                        |2025-04-07 19:27:51.326 -0300|2025-04-07 19:27:51.326 -0300|
|210|-                                                  |           |-                                                  |162                |                        |2025-04-07 19:27:51.576 -0300|2025-04-07 19:27:51.576 -0300|
|211|-                                                  |           |-                                                  |163                |                        |2025-04-07 19:35:03.325 -0300|2025-04-07 19:35:03.325 -0300|
|212|-                                                  |           |-                                                  |164                |                        |2025-04-07 19:35:03.602 -0300|2025-04-07 19:35:03.602 -0300|
|213|-                                                  |           |-                                                  |165                |                        |2025-04-07 19:35:03.864 -0300|2025-04-07 19:35:03.864 -0300|
|214|-                                                  |           |-                                                  |166                |                        |2025-04-07 19:35:04.129 -0300|2025-04-07 19:35:04.129 -0300|
|215|-                                                  |           |-                                                  |167                |                        |2025-04-09 16:35:27.016 -0300|2025-04-09 16:35:27.016 -0300|
|216|-                                                  |           |-                                                  |168                |                        |2025-04-09 16:44:15.080 -0300|2025-04-09 16:44:15.080 -0300|
|217|-                                                  |           |-                                                  |169                |                        |2025-04-09 16:44:15.334 -0300|2025-04-09 16:44:15.334 -0300|
|218|-                                                  |           |-                                                  |170                |                        |2025-04-09 16:52:17.547 -0300|2025-04-09 16:52:17.547 -0300|
|219|-                                                  |           |-                                                  |171                |                        |2025-04-09 16:52:17.802 -0300|2025-04-09 16:52:17.802 -0300|
|220|-                                                  |           |-                                                  |172                |                        |2025-04-09 16:52:18.075 -0300|2025-04-09 16:52:18.075 -0300|
|221|-                                                  |           |-                                                  |173                |                        |2025-04-09 16:52:18.319 -0300|2025-04-09 16:52:18.319 -0300|
|222|-                                                  |           |-                                                  |174                |                        |2025-04-09 16:52:18.567 -0300|2025-04-09 16:52:18.567 -0300|
|223|-                                                  |           |-                                                  |175                |                        |2025-04-09 16:52:18.816 -0300|2025-04-09 16:52:18.816 -0300|
|224|-                                                  |           |-                                                  |176                |                        |2025-04-09 17:36:46.838 -0300|2025-04-09 17:36:46.838 -0300|
|225|-                                                  |           |-                                                  |177                |                        |2025-04-09 17:36:47.109 -0300|2025-04-09 17:36:47.109 -0300|
|226|-                                                  |           |-                                                  |178                |                        |2025-04-17 16:10:42.500 -0300|2025-04-17 16:10:42.500 -0300|
|227|-                                                  |           |-                                                  |179                |                        |2025-04-17 16:21:05.491 -0300|2025-04-17 16:21:05.491 -0300|
|228|-                                                  |           |-                                                  |180                |                        |2025-04-17 16:25:12.177 -0300|2025-04-17 16:25:12.177 -0300|
|229|-                                                  |           |-                                                  |181                |                        |2025-04-17 16:35:52.417 -0300|2025-04-17 16:35:52.417 -0300|
|230|-                                                  |           |-                                                  |182                |                        |2025-04-17 16:35:52.676 -0300|2025-04-17 16:35:52.676 -0300|
|231|-                                                  |           |-                                                  |183                |                        |2025-04-17 16:35:52.942 -0300|2025-04-17 16:35:52.942 -0300|
|232|-                                                  |           |-                                                  |184                |                        |2025-04-17 16:35:53.217 -0300|2025-04-17 16:35:53.217 -0300|
|233|-                                                  |           |-                                                  |185                |                        |2025-04-22 18:44:35.683 -0300|2025-04-22 18:44:35.683 -0300|
